"name","main_img","images","description","cat"
"Aqualife 5 Hot Tub 1980x1980x740mm","https://www.maksauna.vn/wp-content/uploads/2024/07/Aqualife 5 Hot Tub 1980x1980x740mm-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07/Aqualife-5-Hot-Tub-1980x1980x740mm-1.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Aqualife-5-Hot-Tub-1980x1980x740mm-2.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Aqualife-5-Hot-Tub-1980x1980x740mm-3.jpg"," Made In Europe

1.Thông số kỹ thuật cơ bản:	3.Mắt sục: Tổng số 42 cái
-Tên sản phẩm: Aqualife 5 Hot Tub	-Vòi sục massage 28 cái
-Sản xuất: Tây Ban Nha	-Vòi sục khí 14 cái
-Kích thước: 1980x1980x740mm	4. Các thiết bị khác:
-Chất liệu: US Aristech Acrylic (4 màu tùy chọn)	-Khung đỡ: thép không gỉ
-Vỏ bọc spa: (3 màu có sẵn)	-Spa có đế ABS cách nhiệt
-Sức chứa: 3-5 người	-Váy: (4 màu tùy chọn); Vỏ tiết kiệm năng lượng
-Nguồn điện: 220~240V/50~60HZ or 380V/50Hz	-Máy trộn và vòi phun ozone: 1 bộ
-Trọng lượng: 246KG	-Bộ lọc: 1 cái
-Dung tích: 935L	-Tựa đầu: 3 chiếc
2. Linh kiện điện:	-Thác nước: 2 cái
-Hệ thống điều khiển USA Balboa	
-Máy bơm massage spa: 1.800 W / 2,5 CV	5.Tùy chọn
-Bơm lọc spa: 200 W; Máy bơm khí:400 W	-Âm thanh Bluetooth
-Máy sưởi 3KW	-Đèn LED chiếu sáng; 1Led hoặc 3Led

Đây là  spa ngoài nhập khẩu từ Châu Âu","bon-tam-aquavia-spa-tay-ban-nha"
"Aqualife 7 Hot Tub 2160x2160x900mm","https://www.maksauna.vn/wp-content/uploads/2024/07/Aqualife 7 Hot Tub 2160x2160x900mm-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07/Aqualife-7-Hot-Tub-2160x2160x900mm-1.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Aqualife-7-Hot-Tub-2160x2160x900mm-2.jpg"," Made In Europe

1.Thông số kỹ thuật cơ bản:	3.Mắt sục: Tổng số 54 cái
-Tên sản phẩm: Aqualife 7 Hot Tub	-Vòi sục massage 54 cái
-Sản xuất: Tây Ban Nha	-Vòi sục khí 0 cái
-Kích thước: 2160x2160x900mm	4. Các thiết bị khác:
-Chất liệu: US Aristech Acrylic (4 màu tùy chọn)	-Khung đỡ: thép không gỉ
-Vỏ bọc spa: (3 màu có sẵn)	-Spa có đế ABS cách nhiệt
-Sức chứa: 4-5 người	-Váy: (4 màu tùy chọn); Vỏ tiết kiệm năng lượng
-Nguồn điện: 220~240V/50~60HZ or 380V/50Hz	-Máy trộn và vòi phun ozone: 1 bộ
-Trọng lượng: 306KG	-Bộ lọc: 1 cái
-Dung tích: 1180L	-Tựa đầu: 4 chiếc
2. Linh kiện điện:	-Thác nước: 2 cái
-Hệ thống điều khiển USA Balboa	-Đèn Led chiếu sáng dưới nước
-Máy bơm massage spa: 2 x 1.800 W / 2,5 CV	5.Tùy chọn
-Bơm lọc spa:250 W	-Âm thanh Bluetooth
-Máy sưởi 3KW	-Đèn LED chiếu sáng; 1Led hoặc 3Led

Đây là  spa ngoài nhập khẩu từ Châu Âu","bon-tam-aquavia-spa-tay-ban-nha"
"Cube Ergo Hot Tub 2310x2310x780mm","https://www.maksauna.vn/wp-content/uploads/2024/07/Cube Ergo Hot Tub 2310x2310x780mm-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07/Cube-Ergo-Hot-Tub-2310x2310x780mm-1.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Cube-Ergo-Hot-Tub-2310x2310x780mm-2.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Cube-Ergo-Hot-Tub-2310x2310x780mm-3.jpg"," Made In Europe

Cube Ergo là bồn tắm nước nóng dành cho những người yêu thích thiết kế tìm kiếm mối quan hệ tổng thể giữa sức khỏe, sự thoải mái và cảm xúc.

1.Thông số kỹ thuật cơ bản:	3.Mắt sục: Tổng số 42 cái
-Tên sản phẩm: Cube Ergo Hot Tub	-Vòi sục massage 28 cái
-Sản xuất: Tây Ban Nha	-Vòi sục khí 14 cái
-Kích thước: 2310x2310x780mm	4. Các thiết bị khác:
-Chất liệu tùy chọn: White, Sterling, Pearl Shadow, Silver, Alba	-Khung đỡ: thép không gỉ
-Vỏ bọc spa tùy chọn: Solid Surface, Nogal, Grafito, Thunder	-Spa có đế ABS cách nhiệt
-Sức chứa: 5 người	– Vỏ tiết kiệm năng lượng
-Nguồn điện: 220~240V/50~60HZ or 380V/50Hz	-Xử lý tia cực tím UV
-Trọng lượng: 450KG	-Bộ lọc: 1 cái
-Dung tích: 975L	-Tựa đầu: 3 chiếc
2. Linh kiện điện:	-Đèn LED chiếu sáng bên trong: 5 cái
-Hệ thống điều khiển cảm ứng	5.Tùy chọn
-Máy bơm massage spa: 1.800 W / 2,5 CV	-Âm thanh Bluetooth
-Bơm lọc spa: 250 W; Máy bơm khí:1.150 W	-Bảng điều khiển cảm ứng Wi-Fi có thể lập trình
-Máy sưởi 3KW	-Ánh Sang bên ngoài

 ","bon-tam-aquavia-spa-tay-ban-nha"
"Cube Hot Tub 2310x2310x780mm","https://www.maksauna.vn/wp-content/uploads/2024/07/Cube Hot Tub 2310x2310x780mm-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07/Cube-Hot-Tub-2310x2310x780mm-1.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Cube-Hot-Tub-2310x2310x780mm-2.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Cube-Hot-Tub-2310x2310x780mm-3.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Cube-Hot-Tub-2310x2310x780mm-4.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Cube-Hot-Tub-2310x2310x780mm-5.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Cube-Hot-Tub-2310x2310x780mm-6.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Cube-Hot-Tub-2310x2310x780mm-7.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Cube-Hot-Tub-2310x2310x780mm-8.jpg"," Made In Europe

Cube là một bồn tắm nước nóng thực sự sang trọng và là một kỳ công về thiết kế và kỹ thuật, gợi nhớ đến kiến ​​trúc tối giản dành cho những người yêu thích sự hoàn hảo thuần túy.

1.Thông số kỹ thuật cơ bản:	3.Mắt sục: Tổng số 39 cái
-Tên sản phẩm: Cube Hot Tub	-Vòi sục massage 27 cái
-Sản xuất: Tây Ban Nha	-Vòi sục khí 12 cái
-Kích thước: 2310x2310x780mm	4. Các thiết bị khác:
-Chất liệu tùy chọn: White, Sterling, Pearl Shadow, Winter Solstice, Alba	-Khung đỡ: thép không gỉ
-Vỏ bọc spa tùy chọn: Solid Surface, Nogal, Grafito, Thunder	-Spa có đế ABS cách nhiệt
-Sức chứa: 4 người	-Vỏ tiết kiệm năng lượng
-Nguồn điện: 220~240V/50~60HZ or 380V/50Hz	-Xử lý tia cực tím UV
-Trọng lượng: 450KG	-Bộ lọc: 1 cái
-Dung tích: 975L	-Tựa đầu: 2 chiếc
2. Linh kiện điện:	-Đèn LED chiếu sáng bên trong: 5 cái
-Hệ thống điều khiển cảm ứng	5.Tùy chọn
-Máy bơm massage spa: 1.800 W / 2,5 CV	-Âm thanh Bluetooth
-Bơm lọc spa: 250 W; Máy bơm khí:1.150 W	-Bảng điều khiển cảm ứng Wi-Fi có thể lập trình
-Máy sưởi 3KW	-Ánh sáng bên ngoài

 ","bon-tam-aquavia-spa-tay-ban-nha"
"Essence Hot tub 2160x2160x900mm","https://www.maksauna.vn/wp-content/uploads/2024/07/Essence Hot tub 2160x2160x900mm-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07/Essence-Hot-tub-2160x2160x900mm-1.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Essence-Hot-tub-2160x2160x900mm-2.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Essence-Hot-tub-2160x2160x900mm-3.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Essence-Hot-tub-2160x2160x900mm-4.jpg"," Made In Europe

Essence Hot tub là một bồn tắm nước nóng đa năng thực sự rộng rãi nhưng tương đối nhỏ gọn, hoàn hảo để thưởng thức cùng bạn bè và gia đình. Một bồn tắm nước nóng thực sự… cần thiết.

1.Thông số kỹ thuật cơ bản:	3.Mắt sục: Tổng số 75 cái
-Tên sản phẩm: Essence Hot tub	-Vòi sục massage 65 cái
-Sản xuất: Tây Ban Nha	-Vòi sục khí 10 cái
-Kích thước: 2160x2160x900mm	4. Các thiết bị khác:
-Chất liệu tùy chọn: White, Sterling, Pearl Shadow, Cameo, Silver, Sand, Alba	-Khung đỡ: thép không gỉ
-Vỏ bọc spa tùy chọn: Walnut Woodermax, Thunder Woodermax, Graphite Woodermax, Butterfly Woodermax, Dark Grey Soft Rain	-Spa có đế ABS cách nhiệt
-Sức chứa: 5 người	– Vỏ tiết kiệm năng lượng
-Nguồn điện: 220~240V/50~60HZ or 380V/50Hz	-Xử lý tia cực tím UV
-Trọng lượng: 327KG	-Bộ lọc: 1 cái
-Dung tích: 930L	-Tựa đầu: 3 chiếc
2. Linh kiện điện:	-Đèn LED chiếu sáng bên trong: 5 cái
-Hệ thống điều khiển kỹ thuật số	5.Tùy chọn
-Máy bơm massage spa: 2×1.800 W / 2,5 CV	-Âm thanh Bluetooth
-Bơm lọc spa: 250 W; Máy bơm khí:1.150 W	-Bảng điều khiển cảm ứng Wi-Fi có thể lập trình
-Máy sưởi 3KW	-Ánh sáng dòng tinh khiết

 ","bon-tam-aquavia-spa-tay-ban-nha"
"Feel Hot tub 2160x2160x900mm","https://www.maksauna.vn/wp-content/uploads/2024/07/Feel Hot tub 2160x2160x900mm-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07/Feel-Hot-tub-2160x2160x900mm-1.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Feel-Hot-tub-2160x2160x900mm-2.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Feel-Hot-tub-2160x2160x900mm-3.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Feel-Hot-tub-2160x2160x900mm-4.jpg"," Made In Europe

Feel là một bồn tắm nước nóng dành cho gia đình với các tính năng vượt trội, chi phí bảo trì tối ưu, độ bền tuyệt vời và giá trị đồng tiền không thể bỏ qua. Không nghi ngờ gì nữa, một khoản đầu tư xứng đáng cho ngôi nhà.

1.Thông số kỹ thuật cơ bản:	3.Mắt sục: Tổng số 44 cái
-Tên sản phẩm: Feel Hot tub	-Vòi sục massage 32 cái
-Sản xuất: Tây Ban Nha	-Vòi sục khí 12 cái
-Kích thước: 2160x2160x900mm	4. Các thiết bị khác:
-Chất liệu tùy chọn: White, Sterling, Silver, Alba	-Khung đỡ: thép không gỉ
-Vỏ bọc spa tùy chọn: Graphite, Walnut Woodermax, Thunder Woodermax, Butterfly Woodermax	-Spa có đế ABS cách nhiệt
-Sức chứa: 5 người	– Vỏ tiết kiệm năng lượng
-Nguồn điện: 220~240V/50~60HZ or 380V/50Hz	-Xử lý tia cực tím UV
-Trọng lượng: 327KG	-Bộ lọc: 1 cái
-Dung tích: 930L	-Tựa đầu: 3 chiếc
2. Linh kiện điện:	-Đèn LED chiếu sáng bên trong: 1 cái
-Hệ thống điều khiển Balboa System	5.Tùy chọn
-Máy bơm massage spa: 2×1.800 W / 2,5 CV	-Âm thanh Bluetooth
-Bơm lọc spa: 250 W; Máy bơm khí:400 W	-Bảng điều khiển cảm ứng Wi-Fi có thể lập trình
-Máy sưởi 3KW	–3 Đèn LED chiếu sáng

 ","bon-tam-aquavia-spa-tay-ban-nha"
"Home Spa 2150x1740x750mm","https://www.maksauna.vn/wp-content/uploads/2024/07/Home Spa 2150x1740x750mm-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07/Home-Spa-2150x1740x750mm-1.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Home-Spa-2150x1740x750mm-2.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Home-Spa-2150x1740x750mm-3.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Home-Spa-2150x1740x750mm-4.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Home-Spa-2150x1740x750mm-5.jpg"," Made In Europe

Home Spa là một bồn tắm nước nóng với các xu hướng mới nhất và là nơi thử thách của thời gian. Đó là một không gian thân mật cho các cặp đôi, nơi thời gian như ngừng trôi và những căng thẳng, áp lực bị lãng quên. Một viên ngọc quý trong phòng khách sạn; một cú chạm đưa ngôi nhà lên đẳng cấp cao.

1.Thông số kỹ thuật cơ bản:	3.Mắt sục: Tổng số 28 cái
-Tên sản phẩm: Home Spa	-Vòi sục massage 20 cái
-Sản xuất: Tây Ban Nha	-Vòi sục khí 8 cái
-Kích thước: 2150x1740x750mm	4. Các thiết bị khác:
-Chất liệu: Solid Surface	-Khung đỡ: thép không gỉ
-Vỏ bọc spa tùy chọn: White, Silver, Sterling, Pearl Shwdow, Alba	-Spa có đế ABS cách nhiệt
-Sức chứa: 4 người	– Vỏ tiết kiệm năng lượng
-Nguồn điện: 220~240V/50~60HZ or 380V/50Hz	-Xử lý tia cực tím UV
-Trọng lượng: 480KG	-Bộ lọc: 1 cái
-Dung tích: 520L	-Tựa đầu: 2 chiếc
2. Linh kiện điện:	-Đèn LED chiếu sáng bên trong: 4 cái
-Hệ thống điều khiển cảm ứng	5.Tùy chọn
-Máy bơm massage spa: 1.800 W / 2,5 CV	-Âm thanh Bluetooth
-Bơm lọc spa: 250 W; Máy bơm khí:1.150 W	-Bảng điều khiển cảm ứng Wi-Fi có thể lập trình
-Máy sưởi 3KW	-Ánh sáng bên ngoài

 ","bon-tam-aquavia-spa-tay-ban-nha"
"Nice Hot Tub 2160x2160x900mm","https://www.maksauna.vn/wp-content/uploads/2024/07/Nice Hot Tub 2160x2160x900mm-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07/Nice-Hot-Tub-2160x2160x900mm-1.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Nice-Hot-Tub-2160x2160x900mm-2.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Nice-Hot-Tub-2160x2160x900mm-3.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Nice-Hot-Tub-2160x2160x900mm-4.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Nice-Hot-Tub-2160x2160x900mm-5.jpg"," Made In Europe

Nice Hot Tub là một bồn tắm nước nóng đa năng thực sự rộng rãi, hoàn hảo để thưởng thức cùng bạn bè và gia đình. Một bồn tắm nước nóng thực sự… cần thiết. Kết quả của nhiều năm nghiên cứu và cải tiến không ngừng trải nghiệm người dùng nằm trong tầm tay của bạn, để biến ngôi nhà của bạn trở thành nơi an cư và thoải mái.

1.Thông số kỹ thuật cơ bản:	3.Mắt sục: Tổng số 66 cái
-Tên sản phẩm: Nice Hot Tub	-Vòi sục massage 54 cái
-Sản xuất: Tây Ban Nha	-Vòi sục khí 12 cái
-Kích thước: 2160x2160x900mm	4. Các thiết bị khác:
-Chất liệu tùy chọn: White, Sterling, Pearl Shadow, Winter Solstice, Silver, Alba	-Khung đỡ: thép không gỉ
-Vỏ bọc spa tùy chọn: Nogal, Grafito, Thunder, Butterfly, Aurora	-Spa có đế ABS cách nhiệt
-Sức chứa: 5 người	– Vỏ tiết kiệm năng lượng
-Nguồn điện: 220~240V/50~60HZ or 380V/50Hz	-Xử lý tia cực tím UV
-Trọng lượng: 306KG	-Bộ lọc: 1 cái
-Dung tích: 1180L	-Tựa đầu: 3 chiếc
2. Linh kiện điện:	-Đèn LED chiếu sáng bên trong: 5 cái
-Hệ thống điều khiển kỹ thuật số	5.Tùy chọn
-Máy bơm massage spa: 2×1.800 W / 2,5 CV	-Âm thanh Bluetooth
-Bơm lọc spa: 250 W; Máy bơm khí:1.150 W	-Bảng điều khiển cảm ứng Wi-Fi có thể lập trình
-Máy sưởi 3KW	-Ánh sáng bên ngoài

 ","bon-tam-aquavia-spa-tay-ban-nha"
"Pulse Hot tub 2160x2160x900mm","https://www.maksauna.vn/wp-content/uploads/2024/07/Pulse Hot tub 2160x2160x900mm-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07/Pulse-Hot-tub-2160x2160x900mm-1.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Pulse-Hot-tub-2160x2160x900mm-2.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Pulse-Hot-tub-2160x2160x900mm-3.jpg"," Made In Europe

Pulse Hot tub chắc chắn sẽ là một điểm nhấn với tất cả những ai thích dành thời gian cho bạn bè và gia đình của họ, mà không phải hy sinh vô số cảm giác hạnh phúc được cung cấp bởi bồn tắm nước nóng.

1.Thông số kỹ thuật cơ bản:	3.Mắt sục: Tổng số 44 cái
-Tên sản phẩm: Pulse Hot tub	-Vòi sục massage 28 cái
-Sản xuất: Tây Ban Nha	-Vòi sục khí 16 cái
-Kích thước:2160x2160x900mm	4. Các thiết bị khác:
-Chất liệu tùy chọn: White, Sterling, Silver, Alba	-Khung đỡ: thép không gỉ
-Vỏ bọc spa tùy chọn: Graphite, Walnut Woodermax, Thunder Woodermax, Butterfly Woodermax	-Spa có đế ABS cách nhiệt
-Sức chứa: 5 người	– Vỏ tiết kiệm năng lượng
-Nguồn điện: 220~240V/50~60HZ or 380V/50Hz	-Xử lý tia cực tím UV
-Trọng lượng: 330KG	-Bộ lọc: 1 cái
-Dung tích: 980L	-Tựa đầu: 3 chiếc
2. Linh kiện điện:	-Đèn LED chiếu sáng bên trong: 1 cái
-Hệ thống điều khiển kỹ thuật số	5.Tùy chọn
-Máy bơm massage spa: 2×1.800 W / 2,5 CV	-Âm thanh Bluetooth
-Bơm lọc spa: 250 W; Máy bơm khí:400 W	-Bảng điều khiển cảm ứng Wi-Fi có thể lập trình
-Máy sưởi 3KW	–3 Đèn LED chiếu sáng

 ","bon-tam-aquavia-spa-tay-ban-nha"
"Sundown Hot Tub 2050x2050x900mm","https://www.maksauna.vn/wp-content/uploads/2024/07/Sundown Hot Tub 2050x2050x900mm-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07/Sundown-Hot-Tub-2050x2050x900mm-1.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Sundown-Hot-Tub-2050x2050x900mm-2.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Sundown-Hot-Tub-2050x2050x900mm-3.jpg"," Made In Europe

Sundown là một bồn tắm nước nóng dành cho gia đình với các tính năng vượt trội, chi phí bảo trì tối ưu, độ bền tuyệt vời và giá trị đồng tiền không thể bỏ qua. Không nghi ngờ gì nữa, một khoản đầu tư xứng đáng cho ngôi nhà.

1.Thông số kỹ thuật cơ bản:	3.Mắt sục: Tổng số 32 cái
-Tên sản phẩm: Sundown Hot Tub	-Vòi sục massage 22 cái
-Sản xuất: Tây Ban Nha	-Vòi sục khí 10 cái
-Kích thước: 2050x2050x900mm	4. Các thiết bị khác:
-Chất liệu tùy chọn: White, Silver, Sterling,Alba	-Khung đỡ: thép không gỉ
-Vỏ bọc spa tùy chọn: Synthetic Grey	-Spa có đế ABS cách nhiệt
-Sức chứa: 5 người	– Vỏ tiết kiệm năng lượng
-Nguồn điện: 220~240V/50~60HZ or 380V/50Hz	-Xử lý tia cực tím UV
-Trọng lượng: 260KG	-Bộ lọc: 1 cái
-Dung tích: 680L	-Tựa đầu: 3 chiếc
2. Linh kiện điện:	5.Tùy chọn
-Hệ thống điều khiển Balboa System	-Âm thanh Bluetooth
-Máy bơm massage spa: 1.800 W / 2,5 CV	-Bảng điều khiển cảm ứng Wi-Fi có thể lập trình
-Bơm lọc spa: 250 W; Máy bơm khí:400 W	-Đèn Led chiếu sáng
-Máy sưởi 3KW	

 ","bon-tam-aquavia-spa-tay-ban-nha"
"Touch Hot Tub 2160x1660x740mm","https://www.maksauna.vn/wp-content/uploads/2024/07/Touch Hot Tub 2160x1660x740mm-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07/Touch-Hot-Tub-2160x1660x740mm-1.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Touch-Hot-Tub-2160x1660x740mm-2.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Touch-Hot-Tub-2160x1660x740mm-3.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Touch-Hot-Tub-2160x1660x740mm-4.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Touch-Hot-Tub-2160x1660x740mm-5.jpg"," Made In Europe

Touch là một bồn tắm nước nóng dành cho gia đình với các tính năng vượt trội, chi phí bảo trì tối ưu, độ bền tuyệt vời và giá trị đồng tiền không thể bỏ qua. Không nghi ngờ gì nữa, một khoản đầu tư xứng đáng cho ngôi nhà.

1.Thông số kỹ thuật cơ bản:	3.Mắt sục: Tổng số 42 cái
-Tên sản phẩm: Touch Hot Tub	-Vòi sục massage 42 cái
-Sản xuất: Tây Ban Nha	-Vòi sục khí 0 cái
-Kích thước: 2160x1660x740mm	4. Các thiết bị khác:
-Chất liệu tùy chọn: White, Sterling, Winter Solstice, Pearl Shadow, Blue Marble, Alba	-Khung đỡ: thép không gỉ
-Vỏ bọc spa tùy chọn: Graphito, Thunder Woodermax, Nogal Woodermax	-Spa có đế ABS cách nhiệt
-Sức chứa: 3 người	– Vỏ tiết kiệm năng lượng
-Nguồn điện: 220~240V/50~60HZ or 380V/50Hz	-Xử lý tia cực tím UV
-Trọng lượng: 229KG	-Bộ lọc: 1 cái
-Dung tích: 780L	-Tựa đầu: 3 chiếc
2. Linh kiện điện:	
-Hệ thống điều khiển Balboa System	5.Tùy chọn
-Máy bơm massage spa: 2.200 W / 3 CV	-Âm thanh Bluetooth
-Bơm lọc spa: 200 W;	-Bảng điều khiển cảm ứng Wi-Fi có thể lập trình
-Máy sưởi 3KW	-Đèn LED chiếu sáng bên trong

 ","bon-tam-aquavia-spa-tay-ban-nha"
"Velvet Hot Tub 2330x2330x910mm","https://www.maksauna.vn/wp-content/uploads/2024/07/Velvet Hot Tub 2330x2330x910mm-1.jpg","https://www.maksauna.vn/wp-content/uploads/2024/07/Velvet-Hot-Tub-2330x2330x910mm-1.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Velvet-Hot-Tub-2330x2330x910mm-2.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Velvet-Hot-Tub-2330x2330x910mm-3.jpg | https://www.maksauna.vn/wp-content/uploads/2024/07/Velvet-Hot-Tub-2330x2330x910mm-4.jpg"," Made In Europe

Velvet Hot Tub là một bồn tắm nước nóng đa năng thực sự rộng rãi, hoàn hảo để thưởng thức cùng bạn bè và gia đình. Một bồn tắm nước nóng thực sự… cần thiết.

1.Thông số kỹ thuật cơ bản:	3.Mắt sục: Tổng số 68 cái
-Tên sản phẩm: Velvet Hot Tub	-Vòi sục massage 52 cái
-Sản xuất: Tây Ban Nha	-Vòi sục khí 16 cái
-Kích thước: 2330x2330x910mm	4. Các thiết bị khác:
-Chất liệu tùy chọn: White, Sterling, Pearl Shadow, Alba	-Khung đỡ: thép không gỉ
-Vỏ bọc spa tùy chọn: Walnut Woodermax, Graphito Woodermax, Walnut Woodermax, Thunder Woodermax, Butterfly Woodermax, Aurora	-Spa có đế ABS cách nhiệt
-Sức chứa: 5 người	– Vỏ tiết kiệm năng lượng
-Nguồn điện: 220~240V/50~60HZ or 380V/50Hz	-Xử lý tia cực tím UV
-Trọng lượng: 378KG	-Bộ lọc: 1 cái
-Dung tích: 1610L	-Tựa đầu: 3 chiếc
2. Linh kiện điện:	-Đèn LED chiếu sáng bên trong: 5 cái
-Hệ thống điều khiển kỹ thuật số	5.Tùy chọn
-Máy bơm massage spa: 2×2.200 W / 2,5 CV	-Âm thanh Bluetooth
-Bơm lọc spa: 250 W; Máy bơm khí:1.150 W	-Bảng điều khiển cảm ứng Wi-Fi có thể lập trình
-Máy sưởi 3KW	-Ánh sáng bên ngoài

 ","bon-tam-aquavia-spa-tay-ban-nha"
